id,code,fsw
abv,"<b>Data ownership, data protection, and Open Science:</b> Anthropological research materials cannot be considered as disembodied and transferable ‘data’. As much anthropological knowledge is co-produced with our interlocutors, we cannot transfer possession, access, or ownership rights of ‘our data’ to others (such as employers, fellow-scientists, or the general public) without their consent. Based on relations of trust, our interlocutors often share personal and sensitive material with us. We are responsible for keeping such personal and potentially sensitive materials protected and confidential. Providing open access to fieldwork materials is therefore limited; in the case of an integrity inquiry we can at most provide confidential access. ","The definition of data as used by the ABV is slightly different than that used by most of the policies that the FSS RDM guidelines are based on. Therefore, for the purposes of the FSS RDM Guidelines, anthropological research materials are considered data.

However, the FSS RDM policy fully supports researchers stiving to keep personal and potentially sensitive materials protected and confidential: protection of respondents’ privacy is a valid reason not to grant open access to data. "
abv,"Anonymizing ethnographic research materials is often not a workable solution, as it is not only overly time-consuming but above all removes so much detail, that the material becomes virtually meaningless","The FSS RDM Guidelines are written with the realization that anonymization (or more often pseudonymization) comes at a real cost (in terms of time, effort, and data quality), and that only the researcher can determine whether the costs of anonymization/ pseudonymization outweigh the benefits. It therefore lists pseudonymization as something researchers can do to further secure their data, not as something they <i>must</i> do."
abv,"Anthropological knowledge production: Anonymity as default option and non-disclosure of fieldwork data are a precondition for anthropological knowledge production before they are turned into ethical concerns. If we do not allow for anonymity and the protection of our fieldwork material, many of our interlocutors would be hesitant, if not positively reluctant, to share their insights with us. Moreover, much of the knowledge we co-produce with our interlocutors is embodied and personal. Our fieldnotes function as a memory bank, rather than  a complete record of knowledge acquired. Using this material without such personal knowledge runs the serious risk of misinterpretation of the material.

This character of anthropology as a science dealing with research materials that can often not be reduced to ‘data’ has serious ethical consequences, especially regarding the  following.","This relates to the points above: for the FSS RDM Guidelines, field notes would fall under the category “data”, but the practical implications are limited: it is not necessary for data (and thus field notes)  to be published  or be interpreted by others. 

For verification purposes, the data should be archived as a record of the steps the researcher took to arrive at the conclusions in publications. Such archived data will only be accessed in case of doubts regarding academic integrity."
abc,"<b>Anonymity and informed consent:</b> Our default position is that we do not engage in covert research and that we safeguard our interlocutors’ anonymity in our texts. Anthropological research is built on trust, and researchers have a responsibility to protect the privacy and the safety of their interlocutors. Anthropologists regard written informed consent as potentially deceptive. Because relations with interlocutors change in the course of research, for instance under the influence of changing political circumstances, this transfer of knowledge is never fully concluded. We consider it legitimate and often advisable to work with oral forms of consent, since written consent forms may impact negatively on interlocutors’ privacy, safety, and
possession of knowledge.","This may be problematic with respect to GDPR: there must be demonstrable consent. This does not need to be in the form of an informed consent sheet, or even written in some other way, but there must be a way that it can be demonstrated a participant consented, and what they consented to. This is needed to be properly able to resolve complaints.

In practice, researchers can contact the Privacy Champion to find what works."
aom,"2.4.1. When maintaining or accessing personal identifiers in databases or systems of records, such as division rosters, annual meeting submissions, or manuscript review systems, AOM members delete such identifiers before the information is made publicly available or employ other techniques that mask or control disclosure of individual identities.",FSS guidelines require pseudonymization before publication of data sets.
aom,"2.4.2. When deletion of personal identifiers is not feasible, AOM members take reasonable steps to determine that the appropriate consent of personally identifiable individuals has been obtained before they transfer such data to others or review such data collected by others.",FSS requires researchers to follow GDPR which has a more comprehensive approach on what can and cannot be done without consent.
aom,"2.5. Electronic Transmission of Confidential Information:  AOM members use extreme care in delivering or transferring any confidential data, information, or communication over public computer networks when conducting AOM work. AOM members are attentive to the problems of maintaining confidentiality and control over sensitive material and data when the use of technological innovations, such as public computer networks, may open their communication to unauthorized persons.","Following GDPR, FSS requires researchers to take appropriate technical measures to secure personal data."
coc,"9. In research with external partners, make clear written agreements about research integrity and related matters such as intellectual property rights.",FSS guidelines include instructions to do this. The primary contact for FSS researchers about this is IXA-GO.
coc,"10. As necessary, describe how the collected research data are organized and classified so that they can be verified and reused.",FSS guidelines include instructions to write a readme file which covers this. A template readme file is also provided.
coc,"11. As far as possible, make research findings and research data public subsequent to completion of the research. If this is not possible, establish valid reasons for their non-disclosure.","The possible exceptions listed (in a footnote in the original text) are included in FSS guidelines, including a requirement to record in the DMP the reasons not to publish data."
